   n, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
 351,     5119,       2882,     24585,      3168,         474,      12523
 352,     5139,       2893,     15986,      3191,         474,       6685
 353,     5158,       2904,     12765,      3202,         470,       7255
 354,     5172,       2919,     19344,      3214,         472,       9184
 355,     5193,       2923,     15397,      3215,         484,       7351
 356,     5212,       2939,     25959,      3218,         468,       7127
 357,     5224,       2940,     23781,      3175,         478,       6388
 358,     5244,       2956,     23416,      3188,         479,       7129
 359,     5260,       2961,     23725,      3217,         485,       8559
 360,     5279,       2971,     25352,      3252,         489,       6807
 361,     5299,       2979,     25800,      3253,         493,       8953
 362,     5316,       2990,     13112,      3343,         494,      10803
 363,     5339,       3012,     15000,      3269,         497,       6911
 364,     5350,       3020,     14712,      3274,         490,       6393
 365,     5368,       3022,     15485,      3348,         498,      10017
 366,     5386,       3040,     20280,      3423,         500,      11538
 367,     5402,       3043,     23735,      3383,         498,      11125
 368,     5413,       3047,     24067,      3368,         502,       6249
 369,     5430,       3054,     25581,      3446,         503,       7468
 370,     5453,       3073,     25622,      3392,         501,       6993
 371,     5467,       3082,     24895,      3541,         512,       7122
 372,     5488,       3092,     26086,      3557,         508,      13032
 373,     5509,       3097,     20983,      3375,         507,       7037
 374,     5518,       3111,     16129,      3390,         512,       9013
 375,     5539,       3122,     14786,      3510,         500,       7392
 376,     5556,       3125,     18791,      3538,         501,       7266
 377,     5575,       3134,     22383,      3593,         518,      18097
 378,     5594,       3145,     14236,      3579,         515,       8039
 379,     5616,       3160,     14566,      3522,         518,      10009
 380,     5630,       3172,     13841,      3529,         516,      11199
 381,     5646,       3178,     13784,      3455,         525,       7052
 382,     5666,       3187,     14133,      3461,         517,       6514
 383,     5686,       3204,     15373,      3466,         514,       9063
 384,     5696,       3208,     16900,      3474,         518,       8861
 385,     5722,       3224,     13220,      3787,         533,       7454
 386,     5733,       3227,     16907,      3738,         532,      16333
 387,     5744,       3230,     22506,      3801,         519,      13812
 388,     5762,       3249,     23758,      3819,         521,       8788
 389,     5786,       3255,     24568,      3636,         527,       9006
 390,     5803,       3267,     25741,      3635,         524,       7124
 391,     5823,       3280,     24780,      3764,         533,       7768
 392,     5840,       3289,     24743,      3722,         533,       7761
 393,     5852,       3293,     16153,      3728,         541,       7440
 394,     5875,       3306,     13578,      3827,         539,       7848
 395,     5897,       3315,     13715,      3601,         524,       9822
 396,     5910,       3327,     14263,      3654,         533,       7708
 397,     5928,       3334,     14456,      3684,         534,       7775
 398,     5944,       3348,     16253,      3643,         541,       7244
 399,     5961,       3351,     14333,      3668,         547,       7865
 400,     5979,       3363,     14203,      3677,         548,       7525
 401,     5990,       3370,     17688,      3672,         552,      10893
 402,     6016,       3391,     13508,      3686,         544,       7139
 403,     6032,       3395,     13751,      3770,         545,       7847
 404,     6049,       3407,     25530,      3677,         533,      10630
 405,     6068,       3413,     27267,      3695,         548,      10626
 406,     6081,       3421,     26779,      3828,         558,       7894
 407,     6102,       3431,     18900,      3755,         565,       7629
 408,     6116,       3438,     19118,      3761,         565,       8891
 409,     6128,       3446,     14912,      3813,         557,      10308
 410,     6149,       3462,     16580,      3790,         549,      12497
 411,     6164,       3468,     25658,      3780,         571,      13660
