    n, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
  117,     1312,        766,      3793,       856,          85,       1616
  118,     1324,        774,      3643,       875,          87,       2190
  119,     1338,        782,      3129,       878,          92,       2904
  120,     1348,        790,      3175,       876,          91,       3493
  121,     1362,        796,      8701,       879,          87,       5035
  122,     1380,        808,      8945,       887,          88,       3974
  123,     1392,        814,      8550,       941,          92,       5428
  124,     1401,        813,      5997,       943,          94,       1834
  125,     1416,        825,      3162,       941,          93,       2342
  126,     1430,        837,      6976,       953,          94,       4726
  127,     1448,        845,      9383,       972,          99,       5719
  128,     1457,        852,      3694,       986,          98,       1978
  129,     1473,        864,      5539,       966,          91,       3233
  130,     1488,        872,      8468,       986,          93,       5820
  131,     1508,        884,      4836,       988,          97,       4161
  132,     1525,        890,      6615,       994,          98,       1918
  133,     1537,        898,     10265,      1000,          95,       5378
  134,     1555,        907,      7223,      1013,          97,       3639
  135,     1567,        913,      5911,      1025,         102,       3119
  136,     1579,        924,      4806,      1035,         102,       3996
  137,     1599,        929,      3961,      1046,         100,       2600
  138,     1615,        940,      3882,      1070,         101,       2445
  139,     1632,        951,      3440,      1056,         101,       2049
  140,     1648,        959,      4143,      1071,         104,       2084
  141,     1662,        967,      5088,      1077,         102,       2165
  142,     1674,        973,      3706,      1083,         102,       2182
  143,     1693,        983,      3850,      1101,         100,       2022
  144,     1708,        991,      4946,      1110,         101,       5751
  145,     1721,       1001,     10247,      1103,         105,       4143
  146,     1736,       1010,      4350,      1116,         108,       4682
  147,     1751,       1020,      4291,      1130,         112,       4488
  148,     1769,       1026,      4987,      1138,         113,       2148
  149,     1786,       1035,      7874,      1166,         114,       2911
  150,     1801,       1045,      6197,      1161,         117,       2339
  151,     1818,       1055,      6802,      1160,         112,       2283
  152,     1825,       1055,      6622,      1173,         115,       2190
  153,     1842,       1067,      8430,      1181,         115,       3825
  154,     1855,       1074,      5216,      1209,         117,       2540
  155,     1876,       1088,      4208,      1202,         116,       2278
  156,     1895,       1100,      4354,      1215,         112,       2535
  157,     1910,       1104,      4306,      1221,         116,       2317
  158,     1930,       1116,      5705,      1229,         116,       2480
  159,     1942,       1123,      4634,      1236,         122,       2290
  160,     1952,       1129,      4395,      1244,         123,       3073
  161,     1967,       1136,      7698,      1257,         125,       3133
  162,     1989,       1149,      4678,      1269,         124,       4116
  163,     2002,       1157,      5943,      1284,         124,       3049
  164,     2020,       1167,      7306,      1293,         124,       3211
  165,     2032,       1177,     12173,      1291,         129,       5727
  166,     2050,       1185,      8241,      1312,         128,       4177
  167,     2063,       1194,      6100,      1315,         126,       2496
  168,     2075,       1200,      4892,      1319,         129,       2910
  169,     2096,       1208,      8025,      1360,         125,       2833
  170,     2109,       1218,      7881,      1366,         126,       4337
  171,     2128,       1230,      5472,      1441,         131,       2802
  172,     2140,       1238,      7054,      1450,         131,       3148
  173,     2157,       1244,      4991,      1425,         123,       4072
  174,     2172,       1254,      6436,      1393,         126,       2585
  175,     2187,       1263,      6235,      1379,         130,       5626
  176,     2205,       1275,      7631,      1391,         129,       4345
  177,     2222,       1280,      5308,      1414,         138,       2714
  178,     2232,       1290,      8178,      1414,         135,       4985
  179,     2251,       1298,      8191,      1441,         141,       5037
  180,     2263,       1305,      9270,      1456,         143,       4351
  181,     2284,       1315,      8364,      1456,         142,       3054
  182,     2294,       1325,      7011,      1491,         139,       6948
  183,     2311,       1338,     10539,      1486,         140,       4469
  184,     2332,       1342,      9094,      1500,         142,       3253
  185,     2347,       1354,      7309,      1497,         139,       4934
  186,     2360,       1362,      5981,      1489,         138,       3826
  187,     2378,       1369,      7257,      1519,         151,       2801
  188,     2392,       1378,      6823,      1519,         155,       5402
  189,     2407,       1384,      8222,      1526,         148,       4977
  190,     2422,       1396,      5802,      1544,         151,       3345
  191,     2441,       1403,      7597,      1592,         149,       4212
  192,     2455,       1413,      9764,      1594,         149,       4693
  193,     2469,       1415,     10564,      1614,         153,       6102
  194,     2484,       1425,      6496,      1654,         150,       5175
  195,     2501,       1435,     10712,      1592,         154,       3798
  196,     2516,       1447,      6584,      1591,         149,       3657
  197,     2533,       1453,      6301,      1604,         148,       3271
  198,     2548,       1465,      8941,      1620,         156,       3531
  199,     2566,       1475,      9609,      1634,         156,       3904
  200,     2583,       1479,      6124,      1656,         158,       3897
  201,     2598,       1489,      7603,      1666,         156,       3835
  202,     2613,       1499,      7636,      1652,         157,       4285
  203,     2629,       1505,      7105,      1662,         157,       8968
  204,     2643,       1515,      9596,      1669,         157,       4341
  205,     2659,       1522,      7080,      1712,         161,       4958
  206,     2673,       1530,      7948,      1697,         159,       3471
  207,     2691,       1540,      8992,      1744,         163,       3367
  208,     2702,       1550,     13912,      1755,         164,       4700
